# Accelerometer Data File
# Started @Wed Mar 30 10:14:19 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
0.692 0.722 0.105 8
0.711 0.733 0.325 8
0.654 0.722 0.624 9
0.555 0.702 0.95 8
0.459 0.699 1.235 9
0.34 0.691 1.47 8
0.149 0.666 1.53 8
0.068 0.639 1.535 9
0.046 0.634 1.482 8
0.052 0.645 1.398 8
0.044 0.654 1.293 9
-0.043 0.662 1.129 8
-0.174 0.635 0.929 9
-0.271 0.609 0.723 8
-0.352 0.58 0.544 8
-0.421 0.568 0.338 9
-0.467 0.582 0.038 8
-0.445 0.561 -0.309 9
-0.293 0.492 -0.436 8
-0.152 0.386 -0.334 8
-0.15 0.277 -0.176 9
-0.258 0.161 -0.052 8
-0.392 0.026 0.069 9
-0.59 -0.101 0.366 8
-0.83 -0.162 0.737 8
-0.989 -0.144 1.027 9
-1.033 -0.013 1.137 8
-0.932 0.211 1.108 9
-0.658 0.497 1.039 8
-0.209 0.853 0.965 8
0.462 1.322 0.687 9
1.199 1.669 0.184 8
1.946 1.829 -0.272 9
2.455 1.716 -0.542 8
2.405 1.282 -0.488 8
1.691 0.488 0.155 9
0.468 -0.468 1.137 8
-0.672 -1.356 2.309 8
-1.641 -2.076 3.435 9
-2.341 -2.634 4.283 8
-2.709 -3.045 4.635 9
-2.915 -3.154 4.378 8
-2.82 -3.03 3.338 8
-2.55 -2.718 1.882 9
-2.164 -2.304 0.307 8
-1.697 -1.864 -1.181 9
-1.181 -1.436 -2.47 8
-0.725 -0.959 -3.465 8
-0.309 -0.607 -3.923 9
-0.083 -0.316 -3.975 8
0.073 -0.057 -3.893 9
0.196 0.14 -3.645 8
0.239 0.23 -3.218 8
0.238 0.269 -2.827 9
0.157 0.239 -2.483 8
0.134 0.196 -2.143 9
0.235 0.17 -1.772 8
0.474 0.171 -1.372 8
0.795 0.198 -0.991 9
1.0 0.251 -0.756 8
1.147 0.26 -0.484 9
1.256 0.224 -0.188 8
1.329 0.177 0.083 8
1.359 0.133 0.285 9
1.346 0.096 0.392 8
1.338 0.114 0.444 8
1.249 0.139 0.394 9
1.074 0.199 0.184 8
0.837 0.267 -0.144 9
