# Accelerometer Data File
# Started @Wed Mar 30 10:28:48 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
0.194 0.002 -0.197 9
0.305 0.004 -0.088 8
0.265 0.0 -0.015 8
0.102 0.021 -0.017 9
0.034 0.019 -0.089 8
0.059 -0.001 -0.158 9
0.091 0.016 -0.144 8
0.149 0.029 -0.061 8
0.198 0.033 0.073 9
0.192 0.042 0.24 8
0.141 0.06 0.393 9
0.051 0.061 0.525 8
-0.009 0.079 0.565 8
-0.084 0.11 0.507 9
-0.148 0.141 0.367 8
-0.147 0.17 0.184 9
-0.11 0.247 -0.039 8
-0.012 0.378 -0.158 8
0.116 0.469 -0.27 9
0.224 0.521 -0.364 8
0.29 0.552 -0.431 9
0.328 0.575 -0.475 8
0.367 0.519 -0.51 8
0.344 0.498 -0.446 9
0.318 0.462 -0.378 8
0.295 0.414 -0.324 8
0.296 0.349 -0.302 9
0.342 0.258 -0.323 8
0.399 0.138 -0.331 9
0.364 0.048 -0.345 8
0.271 -0.014 -0.337 8
0.131 -0.109 -0.349 9
-0.01 -0.243 -0.376 8
-0.106 -0.373 -0.361 9
-0.272 -0.486 -0.241 8
-0.346 -0.507 0.027 8
-0.345 -0.497 0.291 9
-0.255 -0.457 0.531 8
-0.108 -0.392 0.717 9
0.014 -0.327 0.808 8
0.055 -0.267 0.797 8
0.037 -0.201 0.761 9
0.012 -0.118 0.669 8
0.005 -0.058 0.532 9
0.027 -0.026 0.366 8
0.076 0.009 0.187 8
0.137 0.022 0.062 9
0.223 0.038 -0.04 8
0.235 0.076 -0.127 8
0.205 0.111 -0.211 9
0.16 0.119 -0.266 8
