# Accelerometer Data File
# Started @Tue Mar 29 09:29:06 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
2.962 -1.914 -1.92 9
3.228 -2.02 -2.003 8
3.267 -1.965 -1.692 9
3.02 -1.865 -1.239 8
2.723 -1.682 -0.626 8
1.964 -1.325 -0.383 9
1.479 -0.816 -0.146 8
1.381 -0.309 0.114 8
1.576 0.066 0.383 9
1.872 0.246 0.647 8
2.139 0.148 0.833 9
2.026 0.036 0.99 8
1.964 -0.187 1.265 8
1.831 -0.42 1.427 9
1.665 -0.628 1.184 8
1.752 -0.881 0.374 9
2.035 -1.05 -0.4 8
1.868 -1.153 -0.85 8
1.482 -1.103 -0.958 9
0.957 -0.928 -0.913 8
0.482 -0.73 -1.045 9
0.362 -0.645 -1.695 8
0.404 -0.546 -2.208 8
0.348 -0.469 -2.421 9
0.282 -0.485 -2.089 8
0.181 -0.592 -1.525 9
0.09 -0.841 -1.152 8
0.148 -1.334 -1.239 8
0.185 -1.775 -1.019 9
0.319 -1.923 -0.73 8
0.422 -1.785 -0.401 8
0.694 -1.443 -0.223 9
1.113 -1.003 -0.213 8
1.325 -0.568 -0.139 9
1.512 -0.301 -0.154 8
1.977 -0.345 0.099 8
2.656 -0.702 0.475 9
3.214 -1.188 0.604 8
3.508 -1.694 0.23 9
3.816 -2.28 -0.471 8
3.87 -2.668 -0.453 8
3.96 -2.708 -0.933 9
4.267 -2.657 -1.071 8
4.997 -2.577 -1.255 9
5.913 -2.426 -1.886 8
6.26 -2.122 -2.868 8
7.179 -1.899 -4.316 9
5.871 -0.701 -6.541 8
2.537 0.549 -6.803 9
-1.01 1.183 -4.858 8
-3.734 1.127 -1.238 8
-6.361 1.007 3.449 9
-8.095 0.713 7.406 8
-7.123 -0.288 7.605 9
-6.858 -1.644 6.461 8
-7.259 -3.709 5.261 8
-7.789 -6.017 3.906 9
-8.651 -6.758 0.908 8
-7.331 -5.798 -2.003 8
-6.4 -3.63 -3.234 9
-5.17 -1.727 -3.438 8
-4.415 -0.049 -2.96 9
-3.964 1.352 -2.395 8
-1.85 1.675 -2.737 8
-3.555 2.105 -3.604 9
-4.682 3.099 -3.316 8
-5.631 4.999 -0.712 9
-6.026 7.022 2.164 8
-5.311 8.258 3.569 8
-3.09 8.248 4.166 9
0.733 5.807 9.634 8
0.509 5.03 14.299 9
-1.015 5.265 10.532 8
-2.089 5.936 2.736 8
-1.513 6.399 -2.3 9
1.376 5.952 -1.563 8
3.03 4.739 -0.793 9
3.272 3.565 -0.941 8
3.139 2.761 -1.482 8
2.488 2.487 -2.141 9
1.358 2.6 -2.549 8
0.782 2.625 -2.13 9
0.89 2.414 -1.134 8
0.85 2.014 -0.435 8
0.773 1.54 -0.24 9
0.537 1.001 -0.287 8
0.132 0.491 -0.271 8
-0.127 0.317 -0.139 9
-0.423 0.389 -0.007 8
-0.647 0.368 -0.455 9
-0.392 0.212 -0.831 8
-0.296 0.103 -1.464 8
-0.696 0.132 -2.428 9
-0.636 0.06 -2.595 8
0.146 -0.454 -2.27 9
0.775 -1.333 -2.23 8
2.001 -2.122 -1.511 8
3.376 -2.851 -0.834 9
4.401 -3.699 -0.927 8
5.411 -4.742 -1.242 9
7.099 -5.818 -1.707 8
10.433 -7.221 -2.451 8
12.647 -8.353 -2.953 9
13.343 -9.139 -2.648 8
12.66 -9.511 -1.025 9
9.799 -8.975 2.185 8
4.156 -5.572 2.906 8
2.091 -1.351 1.566 9
1.808 1.955 0.461 8
1.529 4.065 0.146 8
0.472 5.278 0.311 9
-0.343 5.762 0.493 8
-1.458 5.594 1.221 9
-3.228 4.627 1.722 8
-5.112 2.856 1.367 8
-7.359 0.301 0.201 9
-9.632 -3.355 -1.054 8
-9.479 -9.253 -0.999 9
-6.993 -14.88 -0.328 8
-2.879 -16.964 -0.182 8
0.457 -14.939 -0.756 9
1.781 -8.782 -1.978 8
1.169 -0.011 -3.138 9
0.199 7.096 -2.385 8
-0.73 10.354 -1.218 8
-1.203 11.511 -0.127 9
-1.453 11.498 0.808 8
-1.307 10.66 1.299 9
-0.633 9.135 1.272 8
0.11 7.297 1.413 8
0.411 5.89 2.037 9
-1.659 5.41 1.743 8
-4.383 4.859 1.35 9
-6.469 3.719 1.185 8
-7.876 2.147 1.75 8
-10.49 1.098 4.884 9
-8.291 -0.218 2.604 8
-6.508 -0.737 1.071 8
-5.669 -0.568 1.779 9
-5.298 -0.104 3.244 8
-4.872 0.287 3.7 9
-4.968 0.614 4.595 8
-2.514 0.824 3.007 8
-0.34 1.033 1.11 9
1.294 0.953 -0.335 8
2.765 0.517 -1.335 9
4.404 -0.184 -2.198 8
5.601 -0.999 -2.919 8
5.395 -1.303 -2.961 9
5.137 -1.675 -2.324 8
4.832 -2.057 -1.485 9
4.339 -2.319 -0.788 8
3.558 -2.342 -0.447 8
2.631 -2.089 -0.66 9
1.532 -1.25 -0.747 8
1.109 -0.367 -0.588 9
1.405 0.264 -0.42 8
1.873 0.615 -0.142 8
1.884 0.787 0.354 9
1.465 0.845 0.618 8
2.07 0.496 0.598 8
2.572 0.002 0.726 9
2.754 -0.531 0.922 8
2.497 -1.034 0.98 9
1.859 -1.471 0.832 8
1.254 -1.863 1.028 8
1.01 -2.114 1.146 9
0.852 -2.185 0.771 8
0.791 -1.968 0.098 9
0.688 -1.433 -0.624 8
0.393 -0.678 -1.199 8
0.046 -0.047 -1.612 9
-0.475 0.284 -2.06 8
-0.764 0.017 -1.632 9
-1.154 -0.419 -1.189 8
-1.43 -0.81 -0.917 8
-1.089 -1.105 -0.469 9
-0.57 -1.263 -0.206 8
-0.081 -1.037 -0.66 9
0.48 -0.758 -1.003 8
0.876 -0.527 -0.96 8
1.008 -0.376 -0.636 9
0.988 -0.328 -0.246 8
1.2 -0.544 0.491 9
2.027 -1.126 1.132 8
2.63 -1.737 1.43 8
3.228 -2.271 1.215 9
3.973 -2.654 0.601 8
4.761 -2.831 -0.072 8
4.918 -2.735 -0.369 9
5.121 -2.352 -0.791 8
5.757 -2.324 -1.233 9
6.18 -2.277 -1.85 8
5.923 -1.981 -2.777 8
4.885 -1.445 -3.955 9
3.495 -0.916 -4.702 8
2.91 -0.375 -4.846 9
1.103 0.299 -5.043 8
-1.481 0.592 -4.262 8
-4.251 0.345 -1.596 9
-6.579 -0.314 2.87 8
-6.948 -1.455 5.898 9
-6.503 -2.181 4.571 8
-7.638 -2.463 3.476 8
-8.043 -2.916 2.261 9
-7.42 -3.395 0.805 8
-6.921 -3.231 -0.511 9
-5.436 -2.172 -1.524 8
